Tier,RSC ID,Player Name,Team(s),Franchise(s),Conf.,Div.,SBV,GP,W%,W,L,MVPs,P,SP,NP,G,A,Sv,Sh,Sh%,PPG,GPG,APG,SvPG,ShPG
Prospect,,RSC | intrude_n313_,Leopards,Apex Predators,Solar,N/A,26.67,46,0.326,15,30,4,11170,5590,5580,22,11,41,79,0.282,242.83,0.48,0.24,0.87,1.70
Prospect,,Sweetnlow120,Leopards,Apex Predators,Solar,N/A,38.22,53,0.358,19,34,9,15129,7560,7569,26,17,62,101,0.250,285.43,0.47,0.30,1.15,1.89
Prospect,,Truedough28,Leopards,Apex Predators,Solar,N/A,36.35,38,0.395,15,23,6,9940,5450,4490,25,7,35,85,0.286,261.55,0.63,0.16,0.90,2.21
Prospect,,jarjarsmith25,Leopards,Apex Predators,Solar,N/A,37.76,52,0.346,18,34,5,14452,7160,7292,27,18,52,96,0.281,277.90,0.52,0.33,0.98,1.85
Prospect,,Aeronaut,Marinara,Fifty-Fifty Pizzeria,Lunar,N/A,38.06,41,0.634,26,15,3,9613,5500,4113,31,10,21,85,0.357,234.46,0.73,0.22,0.51,2.05
Prospect,,Repulse,Marinara,Fifty-Fifty Pizzeria,Lunar,N/A,57.02,47,0.702,33,14,8,13373,7490,5883,36,25,34,94,0.373,284.51,0.75,0.51,0.72,2.00
Prospect,RSC000458,calltopower1,Marinara,Fifty-Fifty Pizzeria,Lunar,N/A,65,43,0.674,29,14,11,13006,7810,5196,43,17,32,106,0.400,302.44,0.98,0.40,0.72,2.44
Prospect,RSC000297,rotendo,Marinara,Fifty-Fifty Pizzeria,Lunar,N/A,84.98,49,0.714,35,14,19,17719,10000,7719,42,35,54,135,0.313,361.59,0.86,0.69,1.10,2.74
Prospect,RSC000970,RIPpluto,Ravens,The Birdcage,Lunar,N/A,56.07,41,0.341,14,27,6,13048,7800,5248,37,13,52,85,0.440,318.22,0.90,0.32,1.24,2.05
Prospect,,Rugg,Ravens,The Birdcage,Lunar,N/A,54.91,41,0.341,14,27,8,13243,6850,6393,29,16,44,95,0.308,323.00,0.71,0.39,1.07,2.29
Prospect,RSC000221,Treefrog,Ravens,The Birdcage,Lunar,N/A,37.27,59,0.305,18,41,2,15433,7800,7633,30,30,45,105,0.288,261.58,0.51,0.49,0.75,1.76
Prospect,,marquandia,Ravens,The Birdcage,Lunar,N/A,27.3,36,0.222,8,28,2,8957,4370,4587,13,12,36,67,0.194,248.78,0.36,0.33,1.00,1.86
Prospect,RSC000526,Bossinator132,Snap-Its,Fallout Shelter,Solar,N/A,67.36,50,0.66,33,17,9,14868,8320,6548,38,34,31,127,0.299,297.36,0.76,0.68,0.62,2.54
Prospect,,Inedibledeer342,Snap-Its,Fallout Shelter,Solar,N/A,87.23,36,0.75,27,9,9,13230,7350,5880,35,21,34,110,0.321,367.50,0.97,0.58,0.94,3.03
Prospect,RSC000185,Robwobwob,Snap-Its,Fallout Shelter,Solar,N/A,43.52,34,0.324,11,23,3,9419,5280,4139,22,13,34,73,0.305,277.03,0.65,0.35,1.00,2.12
Prospect,,YowellTowel,Snap-Its,Fallout Shelter,Solar,N/A,86.22,46,0.674,31,15,17,16686,10530,6156,52,25,56,128,0.402,362.74,1.11,0.52,1.20,2.76
Prospect,,Flezinator,Sparks,Electric Mayhem,Lunar,N/A,30.19,36,0.306,11,25,3,9240,4850,4390,18,13,39,45,0.400,256.64,0.50,0.36,1.08,1.25
Prospect,,Reinhardt,Sparks,Electric Mayhem,Lunar,N/A,23.45,37,0.378,14,19,2,8490,4440,4050,16,12,36,44,0.363,229.46,0.43,0.32,0.95,1.19
Prospect,RSC000791,Salad Fingers,Sparks,Electric Mayhem,Lunar,N/A,51.62,23,0.348,8,15,3,7273,3870,3403,19,7,23,47,0.404,316.22,0.83,0.30,0.96,2.04
Prospect,RSC000764,kylar stern,Sparks,Electric Mayhem,Lunar,N/A,44.74,43,0.349,15,28,8,12553,6480,6073,29,13,40,93,0.315,291.91,0.67,0.30,0.93,2.14
Prospect,,0ptometrikZ-_,Spartans,The Sovereign,Lunar,N/A,43.77,31,0.452,14,17,2,8213,4490,3723,15,17,31,59,0.238,264.94,0.45,0.55,1.00,1.90
Prospect,,Klikind,Spartans,The Sovereign,Lunar,N/A,88.79,60,0.667,40,20,14,21672,13310,8362,65,42,62,161,0.398,361.20,1.07,0.70,1.03,2.68
Prospect,RSC000716,Mochi,Spartans,The Sovereign,Lunar,N/A,71.18,60,0.667,40,20,16,20751,11300,9451,47,30,74,140,0.338,345.85,0.78,0.50,1.23,2.32
Prospect,,Mr_BuzzLightBeer,Spartans,The Sovereign,Lunar,N/A,68.29,34,0.676,23,11,6,10708,6340,4368,27,23,37,64,0.428,314.94,0.79,0.68,1.09,1.85
Prospect,,Dspencer96,Spirits,The SpaceXplorers,Solar,N/A,37.24,38,0.237,9,29,5,10727,5240,5487,17,17,41,64,0.265,282.29,0.45,0.45,1.05,1.68
Prospect,,FlamezRL,Spirits,The SpaceXplorers,Solar,N/A,31.7,32,0.375,12,20,3,8148,4020,4128,16,12,26,52,0.314,254.59,0.50,0.34,0.81,1.59
Prospect,,SUPERDUPERBAM,Spirits,The SpaceXplorers,Solar,N/A,20.73,41,0.293,12,29,0,9039,4790,4249,18,11,37,59,0.310,220.46,0.44,0.27,0.90,1.42
Prospect,,Rollybackpack,The Flow,Track Artists,Lunar,N/A,36.08,20,0.35,7,13,2,5022,2630,2392,13,7,12,38,0.342,251.10,0.65,0.35,0.60,1.90
Prospect,,Thefirstvirus,The Flow,Track Artists,Lunar,N/A,44.12,54,0.926,50,58,6,14752,7550,7202,22,14,74,95,0.223,273.19,0.39,0.24,1.37,1.74
Prospect,,Thefirstvirus,The Flow,Track Artists,Lunar,N/A,44.12,54,0.926,50,58,6,14752,7550,7202,22,14,74,95,0.223,273.19,0.39,0.24,1.37,1.74
Prospect,RSC000777,marcus071903,The Flow,Track Artists,Lunar,N/A,70.24,54,0.481,26,28,15,19194,10540,8654,51,26,58,124,0.414,355.44,0.94,0.46,1.06,2.28
Prospect,,quasimodo-wilson,The Flow,Track Artists,Lunar,N/A,39.73,52,0.442,23,29,7,13598,7400,6198,34,18,43,95,0.351,261.50,0.64,0.35,0.81,1.81
Rival,RSC000529,LoneBattleFox,Blizzards,The Storm,Solar,N/A,28.02,13,0.538,7,6,1,3055,1630,1425,5,7,10,28,0.148,235.00,0.31,0.46,0.77,2.08
Rival,,Sad Panda,Blizzards,The Storm,Solar,N/A,43.11,17,0.529,9,8,0,5034,2630,2404,11,9,16,28,0.393,296.06,0.65,0.47,0.94,1.65
Rival,RSC000583,UnearthlyLegend,Blizzards,The Storm,Solar,N/A,56.48,59,0.458,27,32,9,19947,10710,9237,41,30,75,136,0.294,338.07,0.68,0.49,1.27,2.31
Rival,,Zacer75,Blizzards,The Storm,Solar,N/A,19.75,35,0.457,16,19,1,8637,4300,4337,13,9,39,60,0.203,246.74,0.34,0.23,1.09,1.69
Rival,RSC000623,wall2wall3,Blizzards,The Storm,Solar,N/A,62.29,58,0.448,26,32,14,20715,11120,9595,47,29,72,137,0.343,357.16,0.81,0.48,1.24,2.36
Rival,,Jaragon2k,Carball Comrades,CCA United,Solar,N/A,69.56,58,0.603,35,23,11,20219,11320,8899,46,38,68,142,0.317,348.60,0.78,0.64,1.17,2.45
Rival,,Right,Carball Comrades,CCA United,Solar,N/A,69.46,54,0.667,36,18,15,18704,11050,7654,51,24,68,135,0.378,346.37,0.94,0.44,1.24,2.50
Rival,,bennys,Carball Comrades,CCA United,Solar,N/A,44.71,50,0.62,31,19,8,14307,7720,6587,29,25,54,87,0.333,286.14,0.58,0.50,1.08,1.74
Rival,,melo,Carball Comrades,CCA United,Solar,N/A,30.93,20,0.4,8,12,2,5197,2830,2367,13,6,17,38,0.342,259.85,0.65,0.30,0.85,1.90
Rival,,Falco5,Discovery,Interstellar,Lunar,N/A,33.62,51,0.314,16,35,5,13914,7210,6704,22,30,51,96,0.221,272.80,0.41,0.57,1.00,1.86
Rival,RSC000781,Vegitus,Discovery,Interstellar,Lunar,N/A,43.11,38,0.421,16,22,6,11033,6130,4903,32,16,28,73,0.444,290.34,0.84,0.40,0.71,1.90
Rival,,itonydelatorre,Discovery,Interstellar,Lunar,N/A,55.23,61,0.361,22,39,12,21488,11450,10038,49,21,80,150,0.322,352.25,0.79,0.33,1.31,2.44
Rival,,mcgroom,Discovery,Interstellar,Lunar,N/A,37.94,41,0.366,15,26,0,11452,6320,5132,24,23,41,72,0.319,279.32,0.56,0.54,1.00,1.76
Rival,,Cheapshot,Dragons,πολύ κεφάλη,Lunar,N/A,49.29,39,0.615,24,15,6,11044,5880,5164,27,21,24,93,0.283,283.18,0.67,0.51,0.62,2.36
Rival,,Desolatekill,Dragons,πολύ κεφάλη,Lunar,N/A,56.73,48,0.604,29,15,5,14638,8830,5808,39,27,52,98,0.402,304.96,0.81,0.54,1.08,2.02
Rival,,Sccrdude64,Dragons,πολύ κεφάλη,Lunar,N/A,79.04,64,0.641,41,23,15,22492,12800,9692,58,48,56,180,0.324,351.42,0.91,0.75,0.88,2.80
Rival,RSC000472,Splatmonkey14,Dragons,πολύ κεφάλη,Lunar,N/A,77.82,44,0.636,28,16,15,15446,9550,5896,46,31,46,110,0.409,351.05,1.02,0.68,1.02,2.50
Rival,RSC000652,AceofAidan,Dynamite,Fallout Shelter,Solar,N/A,117.96,57,0.702,40,17,27,25744,16080,9664,94,39,54,203,0.458,451.65,1.63,0.67,0.93,3.56
Rival,,BlueTiger2661,Dynamite,Fallout Shelter,Solar,N/A,71.07,53,0.66,35,18,8,17547,10320,7227,43,39,55,132,0.328,331.06,0.81,0.72,1.02,2.47
Rival,RSC000628,Gavinator,Dynamite,Fallout Shelter,Solar,N/A,54.35,26,0.577,15,11,4,7852,4500,3352,24,9,20,65,0.369,302.00,0.92,0.35,0.73,2.50
Rival,RSC000547,ridethefire,Dynamite,Fallout Shelter,Solar,N/A,57.09,47,0.745,35,12,3,13481,7520,5961,26,39,41,92,0.272,286.81,0.53,0.81,0.87,1.96
Rival,RSC000156,Drupenson,FA,Free Agent,N/A,N/A,6.36,10,0.1,1,9,0,2291,1060,1231,2,3,11,16,0.125,229.10,0.20,0.30,1.10,1.60
Rival,,Grahm,FA,Free Agent,N/A,N/A,31.21,3,0.667,2,1,0,726,460,266,3,1,1,6,0.400,242.00,0.67,0.33,0.33,1.67
Rival,,Kyal,FA,Free Agent,N/A,N/A,46.75,26,0.269,7,19,5,8258,4480,3778,20,9,27,68,0.294,317.62,0.77,0.31,1.04,2.62
Rival,,Lone,FA,Free Agent,N/A,N/A,13.56,3,0,0,3,0,793,430,363,1,3,3,3,0.499,264.33,0.33,0.67,0.67,0.67
Rival,,NathanryRL,FA,Free Agent,N/A,N/A,106.41,4,1,4,0,2,1697,900,797,5,2,3,15,0.333,424.25,1.25,0.50,0.75,3.75
Rival,,Ondo,FA,Free Agent,N/A,N/A,16.67,21,0.048,1,20,1,5491,2840,2651,7,7,28,39,0.154,261.43,0.29,0.33,1.33,1.86
Rival,,Randy,FA,Free Agent,N/A,N/A,18.01,3,0.333,1,2,0,696,510,186,3,0,3,6,0.334,232.00,0.67,0.00,1.00,2.00
Rival,RSC000520,blastpatern4191,FA,Free Agent,N/A,N/A,7.85,17,0.353,6,11,0,3648,1600,2048,3,8,14,20,0.150,214.59,0.18,0.41,0.77,1.18
Rival,,g3tr3ckless,FA,Free Agent,N/A,N/A,10.24,14,0.071,1,13,0,3290,1610,1680,7,3,10,26,0.280,235.00,0.50,0.21,0.64,1.79
Rival,RSC000084,Biggins,Flailers,The Quad Dynasty,Solar,N/A,61.62,62,0.581,36,26,14,20326,11140,9186,53,32,55,149,0.349,327.82,0.84,0.52,0.89,2.40
Rival,RSC000452,Hippo,Flailers,The Quad Dynasty,Solar,N/A,55.29,52,0.577,30,22,7,16230,9340,6890,38,30,60,104,0.356,312.12,0.71,0.56,1.14,2.00
Rival,RSC000349,Koda,Flailers,The Quad Dynasty,Solar,N/A,62.52,30,0.5,15,15,8,9939,6160,3779,28,15,39,66,0.424,331.30,0.93,0.50,1.27,2.20
Rival,,ence,Flailers,The Quad Dynasty,Solar,N/A,50.73,40,0.65,26,14,5,12430,6230,6200,26,20,38,73,0.356,310.75,0.65,0.50,0.95,1.83
Rival,,ACX925,Griffins,The Birdcage,Lunar,N/A,45.47,42,0.381,16,26,5,13138,7420,5718,29,18,56,82,0.342,312.79,0.67,0.41,1.33,1.95
Rival,,Polish Hammer,Griffins,The Birdcage,Lunar,N/A,64.22,43,0.488,21,22,8,14792,8130,6662,32,28,50,103,0.301,344.00,0.72,0.65,1.14,2.40
Rival,RSC000291,Suckiest Sucker,Griffins,The Birdcage,Lunar,N/A,21.91,26,0.385,10,16,2,6431,3270,3161,13,7,24,42,0.310,247.35,0.50,0.27,0.92,1.62
Rival,RSC000247,hexic,Griffins,The Birdcage,Lunar,N/A,49.74,45,0.489,22,23,7,13662,7270,6392,32,26,37,92,0.337,303.58,0.69,0.56,0.82,2.04
Rival,RSC000324,Contagious_Tomfoolery,Jacks,House of Cards,Lunar,N/A,34.82,45,0.378,17,28,3,12242,6750,5492,27,18,46,85,0.321,272.04,0.60,0.40,1.02,1.87
Rival,RSC000789,Estoymuybien,Jacks,House of Cards,Lunar,N/A,58.05,55,0.345,19,36,6,18587,9960,8627,41,38,56,116,0.353,337.95,0.75,0.67,1.02,2.11
Rival,RSC000078,SirKitboard,Jacks,House of Cards,Lunar,N/A,70.17,27,0.519,14,13,7,9524,5720,3804,28,13,32,67,0.418,352.70,1.04,0.48,1.19,2.48
Rival,,TruDustGaming,Jacks,House of Cards,Lunar,N/A,88.49,23,0.565,13,10,6,8916,4810,4106,17,21,26,76,0.227,387.61,0.74,0.91,1.13,3.26
Rival,,Funke,Jaguars,Apex Predators,Solar,N/A,54.18,37,0.486,18,19,9,12029,6430,5599,29,17,37,83,0.337,325.11,0.76,0.46,1.00,2.24
Rival,,Hendothaneezy,Jaguars,Apex Predators,Solar,N/A,31.55,44,0.364,16,28,4,11377,6320,5057,29,17,36,77,0.377,258.57,0.66,0.39,0.82,1.75
Rival,,Sabre,Jaguars,Apex Predators,Solar,N/A,35.56,22,0.455,10,12,2,5850,3040,2810,11,14,18,34,0.295,265.86,0.46,0.64,0.77,1.55
Rival,,vectris,Jaguars,Apex Predators,Solar,N/A,38.24,63,0.381,24,39,7,17621,9250,8371,36,35,55,115,0.315,279.70,0.57,0.54,0.87,1.81
Rival,,JoelStankyLegs,Labradors,Dog Pound,Solar,N/A,44.55,48,0.438,21,27,5,13966,7590,6376,34,22,42,99,0.343,290.94,0.71,0.46,0.88,2.06
Rival,,MRWARRIORCREY2K,Labradors,Dog Pound,Solar,N/A,66.67,44,0.477,21,23,10,14885,9000,5885,39,28,53,105,0.362,338.27,0.86,0.64,1.18,2.39
Rival,,PatrickV,Labradors,Dog Pound,Solar,N/A,70.8,48,0.708,34,14,14,16790,9360,7430,45,22,50,126,0.349,349.77,0.92,0.46,1.02,2.63
Rival,,Prettykittee,Labradors,Dog Pound,Solar,N/A,36.71,47,0.404,19,28,4,12958,7080,5878,32,18,40,98,0.320,275.68,0.66,0.36,0.83,2.06
Rival,,Ghouly,Mimics,The Dungeon,Lunar,N/A,63.54,53,0.377,20,33,13,19826,10500,9326,48,19,67,140,0.338,374.06,0.89,0.36,1.26,2.62
Rival,,Shay,Mimics,The Dungeon,Lunar,N/A,19.82,30,0.367,11,19,2,7221,3440,3781,9,12,28,54,0.170,240.70,0.30,0.37,0.93,1.77
Rival,,Xclusive,Mimics,The Dungeon,Lunar,N/A,30.44,37,0.324,12,25,1,10100,4670,5430,17,15,29,77,0.221,272.95,0.46,0.41,0.76,2.08
Rival,,toothboto,Mimics,The Dungeon,Lunar,N/A,20.48,53,0.358,19,34,5,12533,6600,5933,27,15,44,95,0.277,236.45,0.49,0.28,0.83,1.77
Rival,,Spoon,Ospreys,Birds of Prey,Solar,N/A,82.51,42,0.714,30,12,12,15424,9140,6284,46,21,45,124,0.371,367.24,1.10,0.50,1.07,2.95
Rival,RSC000104,Tubzy,Ospreys,Birds of Prey,Solar,N/A,62.41,46,0.652,30,16,6,14945,8240,6705,37,25,44,109,0.342,324.87,0.80,0.54,0.94,2.35
Rival,RSC000793,Zekk,Ospreys,Birds of Prey,Solar,N/A,69.21,51,0.471,24,27,13,18242,10370,7872,43,27,65,147,0.288,357.67,0.82,0.53,1.26,2.86
Rival,,nunstoppable,Ospreys,Birds of Prey,Solar,N/A,55.13,50,0.48,24,26,5,15551,8790,6761,33,30,57,114,0.289,311.02,0.66,0.60,1.14,2.28
Rival,RSC000503,Akipz,Pepes,The Meme Machine,Solar,N/A,41.77,53,0.472,25,28,8,15192,7900,7292,35,19,45,120,0.292,286.62,0.66,0.36,0.85,2.26
Rival,RSC000891,Pibro3,Pepes,The Meme Machine,Solar,N/A,64.86,54,0.444,24,30,12,19911,10870,9041,43,27,80,122,0.352,368.72,0.80,0.50,1.48,2.26
Rival,,pacosanchez4235,Pepes,The Meme Machine,Solar,N/A,42.51,42,0.31,13,29,6,12944,6770,6174,30,15,42,92,0.326,308.17,0.71,0.36,1.00,2.19
Rival,RSC000096,ryryboltwrap,Pepes,The Meme Machine,Solar,N/A,37.19,58,0.362,21,37,2,16664,9240,7424,34,25,71,104,0.320,287.31,0.57,0.43,1.21,1.78
Rival,RSC000016,Beans,Rohan,Middle Earth,Lunar,N/A,45.49,54,0.407,22,32,7,16852,9230,7622,37,24,66,103,0.350,312.06,0.67,0.43,1.20,1.91
Rival,RSC000035,Feen,Rohan,Middle Earth,Lunar,N/A,54.29,59,0.492,29,30,3,17888,10020,7868,42,34,54,142,0.291,303.19,0.70,0.58,0.92,2.39
Rival,RSC000368,Llama,Rohan,Middle Earth,Lunar,N/A,68.34,47,0.489,23,24,10,16121,9680,6441,44,29,54,113,0.381,342.98,0.92,0.62,1.13,2.40
Rival,,YuseiThree,Rohan,Middle Earth,Lunar,N/A,70.21,50,0.62,31,19,13,17112,9750,7362,51,28,41,120,0.425,342.24,1.02,0.56,0.82,2.40
Rival,,Rishu,Scorched,Track Artists,Lunar,N/A,63.41,31,0.677,21,10,5,9917,5400,4517,25,19,24,75,0.333,319.90,0.81,0.58,0.77,2.42
Rival,,Tuna146,Scorched,Track Artists,Lunar,N/A,65.93,60,0.617,37,23,13,19127,10840,8287,41,47,59,144,0.285,318.78,0.68,0.78,0.98,2.40
Rival,,ekrasia,Scorched,Track Artists,Lunar,N/A,88.5,45,0.6,27,18,8,17725,10150,7575,50,29,47,135,0.370,393.87,1.11,0.64,1.04,3.00
Rival,,mudkip,Scorched,Track Artists,Lunar,N/A,66.98,62,0.468,29,33,12,21734,12230,9504,53,36,70,163,0.321,350.55,0.84,0.57,1.13,2.61
Rival,,Korsa,Seahorses,The Aquarium,Solar,N/A,40.45,43,0.349,15,28,6,13428,6950,6478,25,19,55,75,0.333,312.26,0.58,0.42,1.28,1.74
Rival,,McLeod_9,Seahorses,The Aquarium,Solar,N/A,24.29,45,0.356,16,29,6,12303,6590,5713,19,14,68,59,0.327,273.38,0.42,0.29,1.51,1.29
Rival,,TopsG0D,Seahorses,The Aquarium,Solar,N/A,33.15,57,0.333,19,38,8,16481,8670,7811,32,19,70,102,0.314,289.14,0.56,0.32,1.23,1.79
Rival,,studmuffin,Seahorses,The Aquarium,Solar,N/A,11.13,40,0.3,12,28,0,9102,4230,4872,15,11,33,53,0.283,227.55,0.38,0.28,0.83,1.33
Rival,,Saucy_Mexican,Space Swine,Cosmic Zoo,Lunar,N/A,36.3,44,0.318,14,30,8,12657,6460,6197,24,21,43,86,0.271,287.66,0.52,0.48,0.98,1.93
Rival,,Sipe,Space Swine,Cosmic Zoo,Lunar,N/A,19.31,4,0,0,4,0,1034,540,494,2,1,4,9,0.222,258.50,0.50,0.25,1.00,2.25
Rival,RSC000792,bebisher,Space Swine,Cosmic Zoo,Lunar,N/A,14.28,47,0.277,13,34,1,10312,5180,5132,16,18,37,83,0.195,219.38,0.34,0.36,0.79,1.75
Rival,,returnofsmalls,Space Swine,Cosmic Zoo,Lunar,N/A,39.49,36,0.417,15,21,5,10547,5750,4797,18,16,49,70,0.257,292.97,0.50,0.42,1.36,1.94
Rival,RSC000030,ADeadM0053,Surge,Electric Mayhem,Lunar,N/A,78.86,64,0.719,46,18,24,23863,13100,10763,53,42,82,160,0.331,372.86,0.83,0.66,1.27,2.50
Rival,,ViperStrike15,Surge,Electric Mayhem,Lunar,N/A,33.82,60,0.7,42,18,6,15224,7640,7584,32,21,47,104,0.310,253.73,0.53,0.35,0.77,1.72
Rival,RSC000032,bravenewwrld,Surge,Electric Mayhem,Lunar,N/A,77.95,60,0.733,44,16,16,21329,12240,9089,59,35,59,164,0.354,355.47,0.97,0.58,0.97,2.73
Rival,,topsub,Surge,Electric Mayhem,Lunar,N/A,3.56,4,0.5,2,2,0,680,370,310,2,0,2,7,0.286,170.00,0.50,0.00,0.50,1.75
Rival,RSC000621,OGkrish,Trashbags,Waste Management,Solar,N/A,75.44,52,0.596,31,21,13,18487,10640,7847,49,31,54,149,0.329,355.52,0.94,0.58,1.04,2.87
Rival,RSC000019,bavarian,Trashbags,Waste Management,Solar,N/A,63.4,55,0.582,32,23,11,18430,10320,8110,41,33,67,122,0.336,335.07,0.75,0.60,1.22,2.22
Rival,,jjanh,Trashbags,Waste Management,Solar,N/A,58.98,11,0.455,5,6,2,3449,2220,1229,9,6,15,27,0.346,313.55,0.82,0.55,1.27,2.36
Rival,,lil rodge,Trashbags,Waste Management,Solar,N/A,42.45,58,0.603,35,23,8,16684,8880,7804,35,21,64,113,0.310,287.64,0.60,0.36,1.10,1.95
Rival,RSC000353,Baba--Yetu,Vikings,The Sovereign,Lunar,N/A,76.49,52,0.731,38,14,11,18274,10920,7354,56,26,52,142,0.390,351.40,1.06,0.48,1.00,2.71
Rival,,Sir Bacon,Vikings,The Sovereign,Lunar,N/A,56.78,12,0.833,10,2,2,3093,2130,963,12,6,7,28,0.393,257.75,0.92,0.50,0.58,2.33
Rival,RSC000430,tterb86,Vikings,The Sovereign,Lunar,N/A,77.7,64,0.734,47,17,16,22066,12840,9226,61,47,56,159,0.380,344.78,0.94,0.73,0.88,2.47
Rival,,zen,Vikings,The Sovereign,Lunar,N/A,94.89,48,0.833,40,8,18,18446,11000,7446,51,39,53,130,0.392,384.27,1.06,0.81,1.10,2.71
Rival,,DOUBELEVEINMAGIC,Voyagers,The SpaceXplorers,Solar,N/A,53.02,28,0.607,17,11,6,9064,5280,3784,21,12,42,48,0.438,323.71,0.75,0.39,1.50,1.71
Rival,,Don't Blink,Voyagers,The SpaceXplorers,Solar,N/A,63.01,52,0.5,26,26,13,17868,9830,8038,38,26,66,143,0.261,343.62,0.71,0.50,1.27,2.73
Rival,,Spoilt,Voyagers,The SpaceXplorers,Solar,N/A,36.88,58,0.483,28,30,5,16278,8630,7648,33,22,63,108,0.296,280.64,0.55,0.38,1.07,1.86
Rival,,untamednoad,Voyagers,The SpaceXplorers,Solar,N/A,70.79,51,0.529,27,24,13,19066,10570,8496,53,15,61,147,0.361,373.82,1.04,0.29,1.20,2.88
Rival,,Computerimac,Wasps,The Swarm,Solar,N/A,58.05,51,0.49,25,26,9,16707,8470,8237,32,30,48,137,0.228,327.57,0.61,0.59,0.92,2.67
Rival,RSC000251,PadmesDefense,Wasps,The Swarm,Solar,N/A,36.46,34,0.471,16,18,2,9268,5340,3928,17,17,44,59,0.271,272.56,0.47,0.47,1.27,1.74
Rival,,SebbyMcWester,Wasps,The Swarm,Solar,N/A,69.93,55,0.491,27,28,15,20647,11570,9077,50,23,79,147,0.336,375.38,0.89,0.42,1.44,2.66
Rival,,krum_kyle,Wasps,The Swarm,Solar,N/A,42.65,49,0.51,25,24,5,13934,7280,6654,30,23,42,103,0.291,284.37,0.61,0.45,0.86,2.10
Rival,,Distant Force,We Those Guys,Rocket League Noob Series,Lunar,N/A,63.7,53,0.396,21,32,10,18175,11120,7055,56,24,60,132,0.420,342.91,1.04,0.43,1.13,2.47
Rival,,Lethality Ben,We Those Guys,Rocket League Noob Series,Lunar,N/A,60.28,56,0.411,23,33,10,19588,10770,8818,41,32,77,122,0.339,349.77,0.73,0.57,1.38,2.16
Rival,RSC000808,Z0vvy18,We Those Guys,Rocket League Noob Series,Lunar,N/A,39.4,58,0.397,23,35,5,17185,9470,7715,38,21,71,107,0.349,296.28,0.64,0.36,1.22,1.83
Rival,,shaqctus,We Those Guys,Rocket League Noob Series,Lunar,N/A,11.59,20,0.4,8,12,0,4230,2020,2210,7,8,14,22,0.318,211.50,0.35,0.40,0.70,1.10
Rival,,JKMadness1520,Wings,Fifty-Fifty Pizzeria,Lunar,N/A,58,36,0.5,18,18,9,11821,6230,5591,27,22,33,78,0.351,328.36,0.75,0.61,0.89,2.14
Rival,,MikeIsMyIke,Wings,Fifty-Fifty Pizzeria,Lunar,N/A,43.56,52,0.423,22,30,8,16193,8550,7643,35,18,62,105,0.324,311.39,0.65,0.35,1.19,2.02
Rival,RSC000357,Primed,Wings,Fifty-Fifty Pizzeria,Lunar,N/A,15.87,36,0.278,10,26,1,8963,4530,4433,17,7,39,53,0.321,248.97,0.47,0.19,1.08,1.47
Rival,RSC000025,slayerof666,Wings,Fifty-Fifty Pizzeria,Lunar,N/A,49.16,44,0.5,22,22,5,13847,7580,6267,32,21,50,83,0.378,314.68,0.71,0.46,1.11,1.86
Veteran,RSC000294,Big Boi Johnny,Apollos,The SpaceXplorers,Solar,N/A,50.52,37,0.405,15,22,4,13214,7190,6024,33,11,50,84,0.381,357.14,0.87,0.30,1.35,2.27
Veteran,,KittenDuck,Apollos,The SpaceXplorers,Solar,N/A,81.73,60,0.683,41,19,14,22517,13420,9097,72,38,53,167,0.434,375.27,1.20,0.62,0.87,2.77
Veteran,RSC000021,TyTy,Apollos,The SpaceXplorers,Solar,N/A,101.6,54,0.722,39,15,20,22773,13810,8963,64,41,70,186,0.341,421.70,1.17,0.74,1.30,3.43
Veteran,,greybear97,Apollos,The SpaceXplorers,Solar,N/A,59.88,46,0.717,33,13,7,13961,7860,6101,28,44,37,101,0.270,303.50,0.59,0.94,0.80,2.17
Veteran,,Keube,Chicken Parm,Fifty-Fifty Pizzeria,Lunar,N/A,58.46,44,0.523,23,21,8,15024,8710,6314,38,21,54,116,0.322,341.43,0.84,0.48,1.21,2.61
Veteran,RSC000867,Ritter,Chicken Parm,Fifty-Fifty Pizzeria,Lunar,N/A,44.19,38,0.421,16,22,7,12500,6870,5630,29,16,48,77,0.377,328.95,0.76,0.40,1.26,2.03
Veteran,,Rye.,Chicken Parm,Fifty-Fifty Pizzeria,Lunar,N/A,33.84,47,0.426,20,27,2,13757,7360,6397,25,25,54,91,0.267,292.68,0.51,0.51,1.13,1.92
Veteran,RSC000679,dannylotus,Chicken Parm,Fifty-Fifty Pizzeria,Lunar,N/A,59.06,56,0.518,29,27,12,19974,11050,8924,46,28,75,130,0.354,356.66,0.82,0.50,1.34,2.32
Veteran,,Ashes.,Eclipse,Track Artists,Lunar,N/A,67.89,42,0.5,21,21,5,15482,9040,6442,35,29,61,104,0.327,368.62,0.81,0.67,1.45,2.48
Veteran,,G3rt,Eclipse,Track Artists,Lunar,N/A,40.24,49,0.408,20,29,6,15266,7930,7336,37,23,42,98,0.378,311.53,0.76,0.45,0.86,2.00
Veteran,,ceejays,Eclipse,Track Artists,Lunar,N/A,59.53,43,0.512,22,21,9,14645,8620,6025,39,27,48,97,0.396,340.58,0.88,0.61,1.12,2.23
Veteran,,doubleplay,Eclipse,Track Artists,Lunar,N/A,42.5,30,0.433,13,17,4,9267,4900,4367,19,18,30,60,0.322,308.90,0.63,0.60,1.00,1.97
