,,,Name,Tier,Team(s),Franchise(s),Conference,SBV,TS,GP,PWE,WP,W,L,P,SP,NP,G,A,Sv,S,S%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,P/G,SP/G,NP/G,G/G,A/G,Sv/G,S/G,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
,,,Almost Magic Mike,Master,Fraud,Inferno,Solar,63.2,817,52,0.625,0.654,34,18,20021,11280,8741,51,29,65,148,34.5%,385.5,217.2,168.3,0.98,0.56,1.25,2.85,385.0,216.9,168.1,0.98,0.56,1.25,2.85,139,100,2.68,1.93,2.67,1.92
,,,Lord Ironskull,Master,Soul,The Elements,Solar,62.4,806,52,0.514,0.500,26,26,19335,11030,8305,41,37,75,133,30.8%,377.4,215.3,162.1,0.80,0.72,1.46,2.60,371.8,212.1,159.7,0.79,0.71,1.44,2.56,115,111,2.24,2.17,2.21,2.13
,,,Rodenrl.,Master,Soul,The Elements,Solar,60.8,806,52,0.514,0.500,26,26,19668,11540,8128,48,25,80,149,32.2%,383.9,225.3,158.7,0.94,0.49,1.56,2.91,378.2,221.9,156.3,0.92,0.48,1.54,2.87,115,111,2.24,2.17,2.21,2.13
,,,Rocksox,Master,Sabertooths,Polar Vortex,Lunar,60.2,588,38,0.505,0.474,18,20,13386,7250,6136,28,23,41,125,22.4%,358.2,194.0,164.2,0.75,0.62,1.10,3.34,352.3,190.8,161.5,0.74,0.61,1.08,3.29,81,80,2.17,2.14,2.13,2.11
,,,The Condra Triangle,Master,Mercury,Metal,Solar,59.0,667,43,0.421,0.442,19,24,16049,8650,7399,28,25,69,115,24.3%,378.6,204.0,174.5,0.66,0.59,1.63,2.71,373.2,201.2,172.1,0.65,0.58,1.60,2.67,94,115,2.22,2.71,2.19,2.67
,,,Foam,Master,Deathclaws,The Monster Mash,Lunar,59.0,400,24,0.606,0.667,16,8,9531,5570,3961,21,16,40,67,31.3%,374.9,219.1,155.8,0.83,0.63,1.57,2.64,397.1,232.1,165.0,0.88,0.67,1.67,2.79,71,54,2.79,2.12,2.96,2.25
,,,Phoenixtouch.,Master,Chimaeras,The Abyss,Lunar,58.8,145,11,0.576,0.545,6,5,3667,1880,1787,5,6,18,18,27.8%,397.9,204.0,193.9,0.54,0.65,1.95,1.95,333.4,170.9,162.5,0.45,0.55,1.64,1.64,22,18,2.39,1.95,2.00,1.64
,,,Wick,Master,Chimaeras,The Abyss,Lunar,58.7,700,48,0.504,0.521,25,23,17325,9310,8015,33,22,75,116,28.4%,389.4,209.2,180.1,0.74,0.49,1.69,2.61,360.9,194.0,167.0,0.69,0.46,1.56,2.42,90,89,2.02,2.00,1.88,1.85
,,,Saucey,Master,Overdrive,Rock FX,Lunar,57.2,685,45,0.628,0.667,30,15,16410,9190,7220,34,28,67,104,32.7%,376.9,211.1,165.8,0.78,0.64,1.54,2.39,364.7,204.2,160.4,0.76,0.62,1.49,2.31,115,82,2.64,1.88,2.56,1.82
,,,Unearthlylegend,Master,Chimaeras,The Abyss,Lunar,57.2,761,52,0.519,0.519,27,25,17821,9670,8151,34,27,70,142,23.9%,368.4,199.9,168.5,0.70,0.56,1.45,2.94,342.7,186.0,156.8,0.65,0.52,1.35,2.73,102,97,2.11,2.01,1.96,1.87
,,,Shamurl,Master,Tempests,Storm,Solar,56.9,776,50,0.572,0.600,30,20,17821,9960,7861,36,35,66,131,27.5%,361.3,201.9,159.4,0.73,0.71,1.34,2.66,356.4,199.2,157.2,0.72,0.70,1.32,2.62,115,95,2.33,1.93,2.30,1.90
,,,Yesper,Master,"Mercury
Flex Tapes","Metal
As Seen on TV!",Solar,56.9,472,30,0.484,0.500,15,15,10740,6070,4670,21,20,42,87,24.1%,358.0,202.3,155.7,0.70,0.67,1.40,2.90,358.0,202.3,155.7,0.70,0.67,1.40,2.90,70,73,2.33,2.43,2.33,2.43
,,,Jatt,Master,Sabertooths,Polar Vortex,Lunar,56.5,831,52,0.517,0.481,25,27,20355,10740,9615,40,21,84,149,26.8%,385.4,203.3,182.0,0.76,0.40,1.59,2.82,391.4,206.5,184.9,0.77,0.40,1.62,2.87,112,107,2.12,2.03,2.15,2.06
,,,Kalten,Master,The Watchmen,The Comic Crusaders,Lunar,56.3,852,51,0.446,0.412,21,30,19431,11030,8401,45,40,63,138,32.6%,358.8,203.7,155.1,0.83,0.74,1.16,2.55,381.0,216.3,164.7,0.88,0.78,1.24,2.71,130,149,2.40,2.75,2.55,2.92
,,,Bex!,Master,Fraud,Inferno,Solar,54.8,737,47,0.628,0.660,31,16,16266,9530,6736,38,32,55,138,27.5%,347.2,203.4,143.8,0.81,0.68,1.17,2.95,346.1,202.8,143.3,0.81,0.68,1.17,2.94,125,89,2.67,1.90,2.66,1.89
,,,Ashes,Master,Mosquitoes,The Swarm,Solar,54.2,743,50,0.599,0.540,27,23,16838,9930,6908,38,29,67,133,28.6%,356.5,210.3,146.3,0.80,0.61,1.42,2.82,336.8,198.6,138.2,0.76,0.58,1.34,2.66,123,95,2.60,2.01,2.46,1.90
,,,Subzero,Master,Mambas,The Serpents,Lunar,53.8,727,44,0.627,0.659,29,15,15409,8330,7079,29,34,45,148,19.6%,333.5,180.3,153.2,0.63,0.74,0.97,3.20,350.2,189.3,160.9,0.66,0.77,1.02,3.36,109,77,2.36,1.67,2.48,1.75
,,,Shanerbaner,Master,Helicoprions,Shark Attack,Lunar,53.5,768,50,0.470,0.460,23,27,18053,9620,8433,28,24,85,137,20.4%,369.8,197.1,172.8,0.57,0.49,1.74,2.81,361.1,192.4,168.7,0.56,0.48,1.70,2.74,97,105,1.99,2.15,1.94,2.10
,,,Denzy,Master,Chimaeras,The Abyss,Lunar,53.2,334,22,0.567,0.545,12,10,7281,4350,2931,19,15,22,60,31.7%,343.0,204.9,138.1,0.89,0.71,1.04,2.83,331.0,197.7,133.2,0.86,0.68,1.00,2.73,49,41,2.31,1.93,2.23,1.86
,,,Infinite,Master,Mosquitoes,The Swarm,Solar,51.9,765,51,0.593,0.529,27,24,17897,10040,7857,45,26,61,119,37.8%,368.1,206.5,161.6,0.93,0.53,1.25,2.45,350.9,196.9,154.1,0.88,0.51,1.20,2.33,125,98,2.57,2.02,2.45,1.92
,,,Croph,Master,Flex Tapes,As Seen on TV!,Solar,51.9,607,40,0.604,0.650,26,14,13234,7890,5344,29,33,49,89,32.6%,343.0,204.5,138.5,0.75,0.86,1.27,2.31,330.9,197.3,133.6,0.73,0.83,1.23,2.23,100,76,2.59,1.97,2.50,1.90
,,,Ayylo,Master,"Andromeda
Snow Leopards","The Cosmos
Sub Zero",Solar,51.4,413,26,0.318,0.269,7,19,9517,5220,4297,21,13,35,72,29.2%,362.5,198.8,163.7,0.80,0.50,1.33,2.74,366.0,200.8,165.3,0.81,0.50,1.35,2.77,50,81,1.90,3.09,1.92,3.12
,,,Ellectrozx,Master,"Helicoprions
Andromeda","Shark Attack
The Cosmos",Lunar,51.3,662,44,0.446,0.455,20,24,15636,8550,7086,27,26,73,90,30.0%,371.6,203.2,168.4,0.64,0.62,1.73,2.14,355.4,194.3,161.0,0.61,0.59,1.66,2.05,84,97,2.00,2.31,1.91,2.20
,,,Pletheros,Master,Blues,Whale Defense,Solar,50.0,656,41,0.571,0.610,25,16,14058,8200,5858,31,28,50,120,25.8%,337.1,196.7,140.5,0.74,0.67,1.20,2.88,342.9,200.0,142.9,0.76,0.68,1.22,2.93,107,89,2.57,2.13,2.61,2.17
,,,Hams,Master,Blues,Whale Defense,Solar,49.6,410,27,0.445,0.407,11,16,9204,5320,3884,19,14,40,72,26.4%,353.2,204.1,149.0,0.73,0.54,1.53,2.76,340.9,197.0,143.9,0.70,0.52,1.48,2.67,51,59,1.96,2.26,1.89,2.19
,,,.Andy,Master,Helicoprions,Shark Attack,Lunar,49.0,729,47,0.481,0.489,23,24,16254,9270,6984,41,23,54,132,31.1%,350.8,200.1,150.7,0.88,0.50,1.17,2.85,345.8,197.2,148.6,0.87,0.49,1.15,2.81,97,102,2.09,2.20,2.06,2.17
,,,Geherpaderp,Master,Sabertooths,Polar Vortex,Lunar,49.0,589,36,0.534,0.528,19,17,12905,7300,5605,28,27,45,90,31.1%,344.7,195.0,149.7,0.75,0.72,1.20,2.40,358.5,202.8,155.7,0.78,0.75,1.25,2.50,82,75,2.19,2.00,2.28,2.08
,,,Maddie.,Master,Mambas,The Serpents,Lunar,48.5,828,51,0.608,0.647,33,18,18312,10450,7862,42,29,67,145,29.0%,347.9,198.6,149.4,0.80,0.55,1.27,2.76,359.1,204.9,154.2,0.82,0.57,1.31,2.84,122,91,2.32,1.73,2.39,1.78
,,,Jnah,Master,Glacier Mint,Minty Fresh,Solar,47.7,829,52,0.520,0.519,27,25,18586,10410,8176,44,28,65,136,32.4%,352.7,197.6,155.2,0.84,0.53,1.23,2.58,357.4,200.2,157.2,0.85,0.54,1.25,2.62,119,113,2.26,2.14,2.29,2.17
,,,Badasswalrus,Master,Care Bears,The Bear Den,Lunar,47.5,517,31,0.347,0.355,11,20,11794,6680,5114,23,18,54,78,29.5%,358.9,203.3,155.6,0.70,0.55,1.64,2.37,380.5,215.5,165.0,0.74,0.58,1.74,2.52,56,85,1.70,2.59,1.81,2.74
,,,Namdorin,Master,Andromeda,The Cosmos,Solar,46.8,189,12,0.513,0.500,6,6,4057,2490,1567,9,7,18,34,26.5%,337.7,207.3,130.4,0.75,0.58,1.50,2.83,338.1,207.5,130.6,0.75,0.58,1.50,2.83,30,29,2.50,2.41,2.50,2.42
,,,Aki,Master,Immortals,The Sovereign,Lunar,46.4,774,49,0.374,0.388,19,30,17234,8850,8384,37,25,52,130,28.5%,350.3,179.9,170.4,0.75,0.51,1.06,2.64,351.7,180.6,171.1,0.76,0.51,1.06,2.65,94,131,1.91,2.66,1.92,2.67
,,,Xero,Master,"Snow Leopards
Helicoprions
Tempests","Sub Zero
Shark Attack
Storm",Solar,46.3,477,32,0.318,0.250,8,24,11216,5730,5486,14,16,58,63,22.2%,369.9,189.0,180.9,0.46,0.53,1.91,2.08,350.5,179.1,171.4,0.44,0.50,1.81,1.97,49,81,1.62,2.67,1.53,2.53
,,,Mcribsky,Master,Mercury,Metal,Solar,45.6,498,32,0.500,0.563,18,14,11145,6010,5135,26,17,36,76,34.2%,352.1,189.9,162.2,0.82,0.54,1.14,2.40,348.3,187.8,160.5,0.81,0.53,1.13,2.38,77,77,2.43,2.43,2.41,2.41
,,,V15 Ehf,Master,Care Bears,The Bear Den,Lunar,44.9,748,47,0.417,0.426,20,27,16629,8570,8059,32,19,61,137,23.4%,349.8,180.3,169.5,0.67,0.40,1.28,2.88,353.8,182.3,171.5,0.68,0.40,1.30,2.91,88,110,1.85,2.31,1.87,2.34
,,,Phelpsy,Master,Lasagna Legion,Italian Battalion,Lunar,42.8,758,48,0.540,0.500,24,24,16480,9590,6890,41,22,62,129,31.8%,342.1,199.0,143.0,0.85,0.46,1.29,2.68,343.3,199.8,143.5,0.85,0.46,1.29,2.69,110,99,2.28,2.05,2.29,2.06
,,,Blocky,Master,Deathclaws,The Monster Mash,Lunar,42.6,857,51,0.553,0.588,30,21,18874,10880,7994,44,30,75,123,35.8%,346.5,199.7,146.8,0.81,0.55,1.38,2.26,370.1,213.3,156.7,0.86,0.59,1.47,2.41,133,116,2.44,2.13,2.61,2.27
,,,Mateitsnate,Master,Blues,Whale Defense,Solar,42.4,651,40,0.549,0.600,24,16,13658,7300,6358,25,30,47,95,26.3%,330.1,176.4,153.7,0.60,0.73,1.14,2.30,341.5,182.5,159.0,0.63,0.75,1.18,2.38,100,88,2.42,2.13,2.50,2.20
,,,Anthage,Master,"Snow Leopards
The Watchmen","Sub Zero
The Comic Crusaders",Solar,42.4,239,16,0.324,0.375,6,10,5523,2920,2603,13,3,21,42,31.0%,363.6,192.2,171.3,0.86,0.20,1.38,2.76,345.2,182.5,162.7,0.81,0.19,1.31,2.63,26,42,1.71,2.76,1.63,2.63
,,,Frostiger,Master,Mercury,Metal,Solar,41.9,763,48,0.397,0.396,19,29,17029,9400,7629,33,24,76,110,30.0%,351.1,193.8,157.3,0.68,0.49,1.57,2.27,354.8,195.8,158.9,0.69,0.50,1.58,2.29,102,133,2.10,2.74,2.13,2.77
,,,Miserable,Master,Glacier Mint,Minty Fresh,Solar,41.2,678,42,0.537,0.524,22,20,14258,7690,6568,27,21,54,124,21.8%,330.9,178.4,152.4,0.63,0.49,1.25,2.88,339.5,183.1,156.4,0.64,0.50,1.29,2.95,98,89,2.27,2.07,2.33,2.12
,,,Se7En,Master,Lasagna Legion,Italian Battalion,Lunar,41.1,827,52,0.523,0.481,25,27,17371,9370,8001,27,36,73,122,22.1%,330.5,178.3,152.2,0.51,0.68,1.39,2.32,334.1,180.2,153.9,0.52,0.69,1.40,2.35,119,112,2.26,2.13,2.29,2.15
,,,Frank.,Master,Care Bears,The Bear Den,Lunar,39.7,429,27,0.332,0.333,9,18,9910,5100,4810,15,11,50,55,27.3%,363.4,187.0,176.4,0.55,0.40,1.83,2.02,367.0,188.9,178.1,0.56,0.41,1.85,2.04,44,70,1.61,2.57,1.63,2.59
,,,Static,Master,"Tempests
Immortals","Storm
The Sovereign",Lunar,37.7,638,41,0.386,0.341,14,27,14283,7510,6773,24,17,68,86,27.9%,352.2,185.2,167.0,0.59,0.42,1.68,2.12,348.4,183.2,165.2,0.59,0.41,1.66,2.10,76,103,1.87,2.54,1.85,2.51
,,,Memlo,Master,The Watchmen,The Comic Crusaders,Lunar,36.5,657,40,0.443,0.425,17,23,13871,7650,6221,22,26,66,85,25.9%,332.2,183.2,149.0,0.53,0.62,1.58,2.04,346.8,191.3,155.5,0.55,0.65,1.65,2.13,96,111,2.30,2.66,2.40,2.78
,,,Queeds,Master,"Andromeda
Fraud","The Cosmos
Inferno",Solar,32.0,141,10,0.335,0.400,4,6,3196,1850,1346,6,3,19,15,40.0%,356.6,206.4,150.2,0.67,0.33,2.12,1.67,319.6,185.0,134.6,0.60,0.30,1.90,1.50,19,29,2.12,3.24,1.90,2.90
,,,Barra,Master,Snow Leopards,Sub Zero,Solar,31.6,711,45,0.306,0.267,12,33,14820,7860,6960,22,19,73,106,20.8%,327.9,173.9,154.0,0.49,0.42,1.62,2.35,329.3,174.7,154.7,0.49,0.42,1.62,2.36,69,119,1.53,2.63,1.53,2.64
,,,Typhon,Master,Soul,The Elements,Solar,30.4,742,48,0.489,0.479,23,25,15047,7730,7317,25,23,60,108,23.1%,319.0,163.9,155.1,0.53,0.49,1.27,2.29,313.5,161.0,152.4,0.52,0.48,1.25,2.25,105,108,2.23,2.29,2.19,2.25
,,,Instnt Gg7,Master,Glacier Mint,Minty Fresh,Solar,30.3,88,6,0.375,0.333,2,4,1662,950,712,2,5,8,10,20.0%,297.1,169.8,127.3,0.36,0.89,1.43,1.79,277.0,158.3,118.7,0.33,0.83,1.33,1.67,10,14,1.79,2.50,1.67,2.33
,,,Ahhlusiv,Master,Overdrive,Rock FX,Lunar,30.3,172,10,0.514,0.500,5,5,3346,1960,1386,9,6,10,26,34.6%,306.1,179.3,126.8,0.82,0.55,0.91,2.38,334.6,196.0,138.6,0.90,0.60,1.00,2.60,29,28,2.65,2.56,2.90,2.80
,,,Wespyyy,Master,"Immortals
Tempests","The Sovereign
Storm",Lunar,29.5,407,26,0.378,0.385,10,16,8029,4580,3449,16,11,35,68,23.5%,310.4,177.0,133.3,0.62,0.43,1.35,2.63,308.8,176.2,132.7,0.62,0.42,1.35,2.62,54,74,2.09,2.86,2.08,2.85
,,,Treezy,Master,"The Watchmen
Snow Leopards","The Comic Crusaders
Sub Zero",Solar,28.3,663,40,0.393,0.325,13,27,13445,7210,6235,28,14,53,106,26.4%,319.0,171.1,148.0,0.66,0.33,1.26,2.52,336.1,180.3,155.9,0.70,0.35,1.33,2.65,83,110,1.97,2.61,2.08,2.75
,,,Kareemostyle,Master,Immortals,The Sovereign,Lunar,28.1,443,30,0.426,0.500,15,15,8938,4840,4098,15,14,41,59,25.4%,317.4,171.9,145.5,0.53,0.50,1.46,2.10,297.9,161.3,136.6,0.50,0.47,1.37,1.97,56,68,1.99,2.41,1.87,2.27
,,,Galico,Master,"Immortals
Mercury","The Sovereign
Metal",Solar,27.2,483,28,0.260,0.071,2,26,10077,5550,4527,20,12,47,60,33.3%,328.2,180.8,147.5,0.65,0.39,1.53,1.95,359.9,198.2,161.7,0.71,0.43,1.68,2.14,51,99,1.66,3.22,1.82,3.54
,,,Frikitshoward,Master,Lasagna Legion,Italian Battalion,Lunar,27.0,159,11,0.323,0.364,4,7,3219,1600,1619,8,3,8,25,32.0%,318.5,158.3,160.2,0.79,0.30,0.79,2.47,292.6,145.5,147.2,0.73,0.27,0.73,2.27,18,29,1.78,2.87,1.64,2.64
,,,Gogbe,Master,Immortals,The Sovereign,Lunar,26.4,180,10,0.309,0.200,2,8,3642,2070,1572,6,4,20,27,22.2%,318.3,180.9,137.4,0.52,0.35,1.75,2.36,364.2,207.0,157.2,0.60,0.40,2.00,2.70,21,35,1.84,3.06,2.10,3.50
,,,Latte,Master,Mosquitoes,The Swarm,Solar,26.2,124,8,0.348,0.250,2,6,2511,1450,1061,6,2,11,20,30.0%,318.6,184.0,134.6,0.76,0.25,1.40,2.54,313.9,181.3,132.6,0.75,0.25,1.38,2.50,11,17,1.40,2.16,1.38,2.13
,,,Papakhan,Master,Care Bears,The Bear Den,Lunar,25.5,802,51,0.373,0.392,20,31,16138,8050,8088,23,23,71,105,21.9%,316.6,157.9,158.7,0.45,0.45,1.39,2.06,316.4,157.8,158.6,0.45,0.45,1.39,2.06,91,128,1.79,2.51,1.78,2.51
,,,Crasty24,Master,Mambas,The Serpents,Lunar,25.2,186,13,0.485,0.462,6,7,3625,1930,1695,7,5,14,28,25.0%,306.6,163.2,143.4,0.59,0.42,1.18,2.37,278.8,148.5,130.4,0.54,0.38,1.08,2.15,24,25,2.03,2.11,1.85,1.92
,,,Jb.,Master,Andromeda,The Cosmos,Solar,23.7,125,8,0.186,0.125,1,7,2876,1420,1456,3,1,19,12,25.0%,362.0,178.7,183.3,0.38,0.13,2.39,1.51,359.5,177.5,182.0,0.38,0.13,2.38,1.50,9,24,1.13,3.02,1.13,3.00
,,,Rex,Master,Deathclaws,The Monster Mash,Lunar,23.4,423,25,0.513,0.520,13,12,8318,4810,3508,13,12,47,56,23.2%,309.4,178.9,130.5,0.48,0.45,1.75,2.08,332.7,192.4,140.3,0.52,0.48,1.88,2.24,57,55,2.12,2.05,2.28,2.20
,,,Krueger,Master,Chimaeras,The Abyss,Lunar,21.8,343,23,0.475,0.478,11,12,6754,3470,3284,11,13,28,32,34.4%,309.8,159.2,150.6,0.50,0.60,1.28,1.47,293.7,150.9,142.8,0.48,0.57,1.22,1.39,43,46,1.97,2.11,1.87,2.00
,,,E=Mc_Hammer,Master,Tempests,Storm,Solar,21.0,623,39,0.586,0.641,25,14,11865,6340,5525,22,18,48,84,26.2%,299.6,160.1,139.5,0.56,0.45,1.21,2.12,304.2,162.6,141.7,0.56,0.46,1.23,2.15,93,74,2.35,1.87,2.38,1.90
,,,Wall2Wall3,Master,Sabertooths,Polar Vortex,Lunar,19.4,485,30,0.512,0.433,13,17,9185,5070,4115,16,11,44,72,22.2%,297.9,164.5,133.5,0.52,0.36,1.43,2.34,306.2,169.0,137.2,0.53,0.37,1.47,2.40,61,59,1.98,1.91,2.03,1.97
,,,Xaerous,Master,Soul,The Elements,Solar,16.5,64,4,0.843,0.750,3,1,827,530,297,1,4,2,13,7.7%,203.3,130.3,73.0,0.25,0.98,0.49,3.20,206.8,132.5,74.3,0.25,1.00,0.50,3.25,10,3,2.46,0.74,2.50,0.75
,,,Nuggz,Master,Andromeda,The Cosmos,Solar,15.9,478,31,0.316,0.290,9,22,8816,4490,4326,8,15,47,59,13.6%,290.2,147.8,142.4,0.26,0.49,1.55,1.94,284.4,144.8,139.5,0.26,0.48,1.52,1.90,48,80,1.58,2.63,1.55,2.58
,,,Klamps,Master,Andromeda,The Cosmos,Solar,13.0,320,20,0.415,0.450,9,11,6079,3310,2769,7,9,37,31,22.6%,298.9,162.7,136.1,0.34,0.44,1.82,1.52,304.0,165.5,138.5,0.35,0.45,1.85,1.55,40,50,1.97,2.46,2.00,2.50
,,,Super,Master,Andromeda,The Cosmos,Solar,11.4,425,28,0.375,0.393,11,17,7268,3930,3338,15,11,25,63,23.8%,269.0,145.5,123.6,0.56,0.41,0.93,2.33,259.6,140.4,119.2,0.54,0.39,0.89,2.25,55,76,2.04,2.81,1.96,2.71
,,,Twisted,Master,Snow Leopards,Sub Zero,Solar,9.2,387,23,0.320,0.304,7,16,7071,3790,3281,12,10,34,39,30.8%,287.5,154.1,133.4,0.49,0.41,1.38,1.59,307.4,164.8,142.7,0.52,0.43,1.48,1.70,43,70,1.75,2.85,1.87,3.04
,,,Rex.,Master,Snow Leopards,Sub Zero,Solar,9.1,249,16,0.432,0.375,6,10,4435,2400,2035,10,4,17,35,28.6%,280.2,151.6,128.6,0.63,0.25,1.07,2.21,277.2,150.0,127.2,0.63,0.25,1.06,2.19,30,36,1.90,2.27,1.88,2.25
,,,Picasso,Master,Mercury,Metal,Solar,7.2,46,3,0.166,0.333,1,2,790,460,330,2,1,3,6,33.3%,270.2,157.3,112.9,0.68,0.34,1.03,2.05,263.3,153.3,110.0,0.67,0.33,1.00,2.00,4,11,1.37,3.76,1.33,3.67
,,,Rev,Master,Helicoprions,Shark Attack,Lunar,6.0,140,9,0.521,0.444,4,5,2663,1310,1353,5,1,12,16,31.3%,299.3,147.2,152.0,0.56,0.11,1.35,1.80,295.9,145.6,150.3,0.56,0.11,1.33,1.78,18,17,2.02,1.91,2.00,1.89
,,,Neoblastz,Master,Immortals,The Sovereign,Lunar,2.0,30,2,0.631,0.500,1,1,552,240,312,1,0,2,4,25.0%,289.5,125.9,163.6,0.52,0.00,1.05,2.10,276.0,120.0,156.0,0.50,0.00,1.00,2.00,3,2,1.57,1.05,1.50,1.00
,,,Jester,Master,Mercury,Metal,Solar,-2.7,179,11,0.162,0.091,1,10,3000,1350,1650,3,3,14,20,15.0%,263.7,118.7,145.0,0.26,0.26,1.23,1.76,272.7,122.7,150.0,0.27,0.27,1.27,1.82,14,40,1.23,3.52,1.27,3.64
,,,Djcasualties,Master,Overdrive,Rock FX,Lunar,-4.2,53,4,0.457,0.500,2,2,824,440,384,1,2,4,4,25.0%,244.6,130.6,114.0,0.30,0.59,1.19,1.19,206.0,110.0,96.0,0.25,0.50,1.00,1.00,9,10,2.67,2.97,2.25,2.50
,,,Zerotwo,Master,Lasagna Legion,Italian Battalion,Lunar,-21.7,21,1,0.186,0.000,0,1,164,90,74,0,1,0,4,0.0%,122.9,67.4,55.4,0.00,0.75,0.00,3.00,164.0,90.0,74.0,0.00,1.00,0.00,4.00,2,5,1.50,3.75,2.00,5.00
,,,Murloc,Master,"Glacier Mint
Deathclaws","Minty Fresh
The Monster Mash",Solar,-24.6,189,12,0.333,0.333,4,8,2291,1090,1201,2,5,9,19,10.5%,190.7,90.7,100.0,0.17,0.42,0.75,1.58,190.9,90.8,100.1,0.17,0.42,0.75,1.58,21,33,1.75,2.75,1.75,2.75
,,,Cineo,Elite,Predators,The Monster Mash,Lunar,119.8,53,4,0.843,1.000,4,0,1698,1120,578,6,3,5,12,50.0%,504.2,332.6,171.6,1.78,0.89,1.48,3.56,424.5,280.0,144.5,1.50,0.75,1.25,3.00,16,6,4.75,1.78,4.00,1.50
,,,Bubblebuddy47,Elite,Vibranium,Metal,Solar,116.7,195,12,0.559,0.500,6,6,6236,4140,2096,26,4,16,54,48.1%,503.3,334.1,169.2,2.10,0.32,1.29,4.36,519.7,345.0,174.7,2.17,0.33,1.33,4.50,37,32,2.99,2.58,3.08,2.67
,,,Mranderson,Elite,"Vibranium
Great Danes","Metal
Puppy Paradise",Solar,93.6,831,52,0.598,0.558,29,23,23433,14500,8933,74,36,69,185,40.0%,443.8,274.6,169.2,1.40,0.68,1.31,3.50,450.6,278.8,171.8,1.42,0.69,1.33,3.56,162,127,3.07,2.41,3.12,2.44
,,,Catlas,Elite,"Godzilla
Montrose Magpies","Kaiju
Quidditch League",Solar,90.9,126,8,0.393,0.375,3,5,3608,2250,1358,8,9,16,20,40.0%,450.7,281.0,169.6,1.00,1.12,2.00,2.50,451.0,281.3,169.8,1.00,1.13,2.00,2.50,20,26,2.50,3.25,2.50,3.25
,,,Kev,Elite,D-Generation X,Rocket Association Wrestling,Lunar,85.8,910,59,0.673,0.729,43,16,24811,14680,10131,62,41,90,193,32.1%,429.1,253.9,175.2,1.07,0.71,1.56,3.34,420.5,248.8,171.7,1.05,0.69,1.53,3.27,168,106,2.91,1.83,2.85,1.80
,,,Yillow,Elite,Great Whites,Shark Attack,Lunar,82.3,917,60,0.656,0.633,38,22,24739,14670,10069,67,44,80,177,37.9%,424.6,251.8,172.8,1.15,0.76,1.37,3.04,412.3,244.5,167.8,1.12,0.73,1.33,2.95,162,107,2.78,1.84,2.70,1.78
,,,Denzy,Elite,Anglers,The Abyss,Lunar,81.2,281,16,0.518,0.500,8,8,6934,4210,2724,20,14,17,66,30.3%,388.4,235.8,152.6,1.12,0.78,0.95,3.70,433.4,263.1,170.3,1.25,0.88,1.06,4.13,45,43,2.52,2.41,2.81,2.69
,,,Supr3Me,Elite,Fire,The Elements,Solar,79.7,898,60,0.594,0.600,36,24,23979,13760,10219,63,39,75,176,35.8%,420.3,241.2,179.1,1.10,0.68,1.31,3.08,399.7,229.3,170.3,1.05,0.65,1.25,2.93,185,147,3.24,2.58,3.08,2.45
,,,2% Mike,Elite,Violence,Inferno,Solar,79.0,427,30,0.640,0.667,20,10,11267,6390,4877,25,18,42,89,28.1%,415.3,235.5,179.8,0.92,0.66,1.55,3.28,375.6,213.0,162.6,0.83,0.60,1.40,2.97,74,51,2.73,1.88,2.47,1.70
,,,Grrrrrrrrrreat,Elite,"Menthol
Hornets","Minty Fresh
The Swarm",Solar,79.0,896,55,0.466,0.455,25,30,23655,13670,9985,51,36,97,192,26.6%,415.5,240.1,175.4,0.90,0.63,1.70,3.37,430.1,248.5,181.5,0.93,0.65,1.76,3.49,131,143,2.30,2.51,2.38,2.60
,,,Phantao,Elite,Sloths,The Jungle,Solar,78.0,905,58,0.651,0.672,39,19,22482,13280,9202,58,50,62,188,30.9%,391.0,230.9,160.0,1.01,0.87,1.08,3.27,387.6,229.0,158.7,1.00,0.86,1.07,3.24,172,116,2.99,2.02,2.97,2.00
,,,Huskkio,Elite,"Violence
Predators","Inferno
The Monster Mash",Solar,76.3,478,29,0.478,0.379,11,18,12626,7440,5186,28,18,55,99,28.3%,415.7,245.0,170.8,0.92,0.59,1.81,3.26,435.4,256.6,178.8,0.97,0.62,1.90,3.41,67,71,2.21,2.34,2.31,2.45
,,,Generalzippy,Elite,D-Generation X,Rocket Association Wrestling,Lunar,75.9,561,36,0.733,0.750,27,9,13609,8330,5279,40,28,34,123,32.5%,381.8,233.7,148.1,1.12,0.79,0.95,3.45,378.0,231.4,146.6,1.11,0.78,0.94,3.42,106,55,2.97,1.54,2.94,1.53
,,,Rblegend,Elite,Aquarius,The N Ξ X U S,Solar,75.6,828,52,0.515,0.442,23,29,21544,12810,8734,59,33,72,166,35.5%,409.5,243.5,166.0,1.12,0.63,1.37,3.16,414.3,246.3,168.0,1.13,0.63,1.38,3.19,139,134,2.64,2.55,2.67,2.58
,,,Hawk Rl,Elite,Finbacks,Whale Defense,Solar,75.0,930,58,0.518,0.534,31,27,23733,14670,9063,68,36,82,197,34.5%,401.6,248.3,153.4,1.15,0.61,1.39,3.33,409.2,252.9,156.3,1.17,0.62,1.41,3.40,158,151,2.67,2.56,2.72,2.60
